descrip_E,BYCOND,source_file,FACTORS
PG-05,OCCLEVEL = 467,../data/clean\subset4.csv,Occupation Level
PG-06,OCCLEVEL = 468,../data/clean\subset4.csv,Occupation Level
PM,Q105A = 088,../data/clean\subset4.csv,Occupation Level
PM-01,OCCLEVEL = 479,../data/clean\subset4.csv,Occupation Level
PM-02,OCCLEVEL = 480,../data/clean\subset4.csv,Occupation Level
PM-03,OCCLEVEL = 481,../data/clean\subset4.csv,Occupation Level
PM-04,OCCLEVEL = 482,../data/clean\subset4.csv,Occupation Level
PM-05,OCCLEVEL = 483,../data/clean\subset4.csv,Occupation Level
PM-06,OCCLEVEL = 484,../data/clean\subset4.csv,Occupation Level
SE,Q105A = 104,../data/clean\subset4.csv,Occupation Level
SE-01,OCCLEVEL = 551,../data/clean\subset4.csv,Occupation Level
SE-02,OCCLEVEL = 552,../data/clean\subset4.csv,Occupation Level
SE-03,OCCLEVEL = 553,../data/clean\subset4.csv,Occupation Level
SE-04,OCCLEVEL = 554,../data/clean\subset4.csv,Occupation Level
SE-05,OCCLEVEL = 555,../data/clean\subset4.csv,Occupation Level
SG,Q105A = 105,../data/clean\subset4.csv,Occupation Level
SG-02,OCCLEVEL = 556,../data/clean\subset4.csv,Occupation Level
SG-03,OCCLEVEL = 557,../data/clean\subset4.csv,Occupation Level
SG-04,OCCLEVEL = 558,../data/clean\subset4.csv,Occupation Level
SG-05,OCCLEVEL = 559,../data/clean\subset4.csv,Occupation Level
SG-06,OCCLEVEL = 560,../data/clean\subset4.csv,Occupation Level
SG-07,OCCLEVEL = 561,../data/clean\subset4.csv,Occupation Level
SG-08,OCCLEVEL = 562,../data/clean\subset4.csv,Occupation Level
STUDENT,Q105A = 130,../data/clean\subset4.csv,Occupation Level
TI,Q105A = 114,../data/clean\subset4.csv,Occupation Level
TI-06,OCCLEVEL = 637,../data/clean\subset4.csv,Occupation Level
VM,Q105A = 119,../data/clean\subset4.csv,Occupation Level
VM-02,OCCLEVEL = 655,../data/clean\subset4.csv,Occupation Level
VM-03,OCCLEVEL = 656,../data/clean\subset4.csv,Occupation Level
VM-04,OCCLEVEL = 657,../data/clean\subset4.csv,Occupation Level
VM-05,OCCLEVEL = 658,../data/clean\subset4.csv,Occupation Level
CH-01,OCCLEVEL = 087,../data/clean\subset4.csv,Occupation Level
EC-01,OCCLEVEL = 145,../data/clean\subset4.csv,Occupation Level
ED-03,OCCLEVEL = 155,../data/clean\subset4.csv,Occupation Level
ED-04,OCCLEVEL = 156,../data/clean\subset4.csv,Occupation Level
EG-01,OCCLEVEL = 159,../data/clean\subset4.csv,Occupation Level
EG-02,OCCLEVEL = 160,../data/clean\subset4.csv,Occupation Level
